cultivar,well,target,sample,cycle_start,cycle_end,slope,r2,efficiency
melona,G11,CmCYP,M.M.B,15,19,0.29970980012895865,0.9992242964562607,1.9939295062903764
melona,H01,CmACS,M.30.A,25,29,0.27959666463285243,0.998309843731041,1.9036919113954973
melona,H02,CmACS,M.M.B,15,19,0.29900071130335687,0.9989488727659798,1.990676599387323
melona,H03,CmACO,M.15.C,25,29,0.2927421837005299,0.998377157042849,1.9621950857394588
melona,H04,CmACO,M.M.A,16,20,0.28541347078794105,0.9972158133122571,1.9293608903425947
melona,H05,CmATH,M.15.B,24,28,0.3380506937866132,0.9978864969003195,2.177963984189736
melona,H06,CmATH,M.30.C,21,25,0.2828334851950191,0.99765545462701255,1.9179332362501662
melona,H07,CmEREBP,M.15.A,21,25,0.29811115496274904,0.9993758941769487,1.986603311016027
melona,H08,CmEREBP,M.30.B,18,22,0.29453753385295134,0.9969977374459783,1.9703234848495512
melona,H09,CmEREBP,M.M.C,14,18,0.4054283844824038,0.9993717605185606,2.5434803365449796
melona,H10,CmCYP,M.30.A,15,19,0.30956668066216353,0.9985738524640224,2.039701807097409
melona,H11,CmCYP,M.M.B,15,19,0.3143222329940285,0.9988543727676129,2.062159403903467
tacapa,A01,CmACS,T.15.A,26,30,0.2969777823337317,0.9975301824855203,1.981425657305382
tacapa,A02,CmACS,T.30.B,26,30,0.30387757064454546,0.9982891597959532,2.013156652931389
tacapa,A03,CmACS,T.M.C,25,29,0.2762865027636923,0.9980927304963371,1.8892372622290745
tacapa,A04,CmACO,T.30.A,21,25,0.3048283892664804,0.9984863364297448,2.017568967165588
tacapa,A05,CmACO,T.M.B,19,23,0.3232843400407797,0.9987759354240446,2.105156270563657
tacapa,A06,CmATH,T.15.C,19,23,0.30116248008174257,0.9993299657876163,2.000610206359803
tacapa,A07,CmATH,T.M.A,22,26,0.3143281633097404,0.9979082410716449,2.0621875629990094
tacapa,A08,CmEREBP,T.15.B,20,24,0.3038512823742771,0.9992892869022426,2.0130347982758505
tacapa,A09,CmEREBP,T.30.C,22,26,0.2875576919178779,0.9982115109195075,1.938910184740887
